ar,kvartal,diagnoskapitel_kod,diagnoskapitel_text,lan_kod,lan_text,antal,andel,antal_kvinnor,andel_kvinnor,antal_man,andel_man
2005,1,Samtliga,Samtliga,01,Stockholms län,44319,100,28970,100,15349,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,01,Stockholms län,326,0.74,178,0.61,148,0.96
2005,1,C00-D48,Tumörer,01,Stockholms län,1934,4.36,1329,4.59,605,3.94
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,01,Stockholms län,129,0.29,88,0.3,41,0.27
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",01,Stockholms län,560,1.26,335,1.16,225,1.47
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,01,Stockholms län,14341,32.4,9953,34.4,4388,28.6
2005,1,G00-G99,Sjukdomar i nervsystemet,01,Stockholms län,1006,2.27,632,2.18,374,2.44
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,01,Stockholms län,131,0.3,73,0.25,58,0.38
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,01,Stockholms län,288,0.65,194,0.67,94,0.61
2005,1,I00-I99,Cirkulationsorganens sjukdomar,01,Stockholms län,1783,4.02,724,2.5,1059,6.9
2005,1,J00-J99,Andningsorganens sjukdomar,01,Stockholms län,684,1.54,459,1.58,225,1.47
2005,1,K00-K93,Matsmältningsorganens sjukdomar,01,Stockholms län,716,1.62,406,1.4,310,2.02
2005,1,L00-L99,Hudens och underhudens sjukdomar,01,Stockholms län,266,0.6,168,0.58,98,0.64
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,01,Stockholms län,11075,25,6849,23.6,4226,27.5
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,01,Stockholms län,277,0.63,176,0.61,101,0.66
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",01,Stockholms län,1573,3.55,1573,5.43,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,01,Stockholms län,..,..,..,..,-,-
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",01,Stockholms län,..,..,29,0.1,..,..
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",01,Stockholms län,1704,3.84,1168,4.03,536,3.49
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",01,Stockholms län,2584,5.83,1334,4.6,1250,8.14
2005,1,U00-U99,Koder för särskilda ändamål,01,Stockholms län,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,01,Stockholms län,..,..,..,..,..,..
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,01,Stockholms län,1048,2.36,746,2.58,302,1.97
2005,1,-00--99,Saknas/Okänd,01,Stockholms län,3837,8.66,2546,8.79,1291,8.41
2005,1,Samtliga,Samtliga,03,Uppsala län,8545,100,5348,100,3197,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,03,Uppsala län,57,0.67,29,0.54,28,0.88
2005,1,C00-D48,Tumörer,03,Uppsala län,330,3.86,212,3.96,118,3.69
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,03,Uppsala län,..,..,10,0.19,..,..
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",03,Uppsala län,118,1.38,71,1.33,47,1.47
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,03,Uppsala län,2571,30.1,1761,32.9,810,25.3
2005,1,G00-G99,Sjukdomar i nervsystemet,03,Uppsala län,269,3.15,168,3.14,101,3.16
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,03,Uppsala län,35,0.41,20,0.37,15,0.47
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,03,Uppsala län,82,0.96,56,1.05,26,0.81
2005,1,I00-I99,Cirkulationsorganens sjukdomar,03,Uppsala län,352,4.12,129,2.41,223,6.98
2005,1,J00-J99,Andningsorganens sjukdomar,03,Uppsala län,143,1.67,88,1.65,55,1.72
2005,1,K00-K93,Matsmältningsorganens sjukdomar,03,Uppsala län,127,1.49,74,1.38,53,1.66
2005,1,L00-L99,Hudens och underhudens sjukdomar,03,Uppsala län,74,0.87,52,0.97,22,0.69
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,03,Uppsala län,2577,30.2,1581,29.6,996,31.2
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,03,Uppsala län,53,0.62,37,0.69,16,0.5
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",03,Uppsala län,94,1.1,94,1.76,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,03,Uppsala län,-,-,-,-,-,-
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",03,Uppsala län,..,..,..,..,..,..
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",03,Uppsala län,350,4.1,243,4.54,107,3.35
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",03,Uppsala län,609,7.13,312,5.83,297,9.29
2005,1,U00-U99,Koder för särskilda ändamål,03,Uppsala län,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,03,Uppsala län,..,..,..,..,..,..
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,03,Uppsala län,145,1.7,100,1.87,45,1.41
2005,1,-00--99,Saknas/Okänd,03,Uppsala län,526,6.16,301,5.63,225,7.04
2005,1,Samtliga,Samtliga,04,Södermanlands län,7132,100,4604,100,2528,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,04,Södermanlands län,36,0.5,22,0.48,14,0.55
2005,1,C00-D48,Tumörer,04,Södermanlands län,286,4.01,190,4.13,96,3.8
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,04,Södermanlands län,..,..,..,..,..,..
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",04,Södermanlands län,74,1.04,47,1.02,27,1.07
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,04,Södermanlands län,2234,31.3,1572,34.1,662,26.2
2005,1,G00-G99,Sjukdomar i nervsystemet,04,Södermanlands län,200,2.8,122,2.65,78,3.09
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,04,Södermanlands län,29,0.41,17,0.37,12,0.47
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,04,Södermanlands län,32,0.45,22,0.48,10,0.4
2005,1,I00-I99,Cirkulationsorganens sjukdomar,04,Södermanlands län,335,4.7,120,2.61,215,8.5
2005,1,J00-J99,Andningsorganens sjukdomar,04,Södermanlands län,116,1.63,64,1.39,52,2.06
2005,1,K00-K93,Matsmältningsorganens sjukdomar,04,Södermanlands län,124,1.74,68,1.48,56,2.22
2005,1,L00-L99,Hudens och underhudens sjukdomar,04,Södermanlands län,39,0.55,22,0.48,17,0.67
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,04,Södermanlands län,2260,31.7,1493,32.4,767,30.3
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,04,Södermanlands län,..,..,21,0.46,..,..
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",04,Södermanlands län,115,1.61,115,2.5,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,04,Södermanlands län,-,-,-,-,-,-
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",04,Södermanlands län,..,..,..,..,..,..
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",04,Södermanlands län,232,3.25,157,3.41,75,2.97
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",04,Södermanlands län,443,6.21,209,4.54,234,9.26
2005,1,U00-U99,Koder för särskilda ändamål,04,Södermanlands län,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,04,Södermanlands län,..,..,-,-,..,..
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,04,Södermanlands län,124,1.74,79,1.72,45,1.78
2005,1,-00--99,Saknas/Okänd,04,Södermanlands län,397,5.57,244,5.3,153,6.05
